flat,mrt,mrt_dist,num_mrt_2km
537 HOUGANG ST 52,BUANGKOK MRT STATION,0.6753694072248454,9
608 HOUGANG AVE 4,HOUGANG MRT STATION,0.7730053982550906,5
620 CHOA CHU KANG ST 62,YEW TEE MRT STATION,0.22872879643913377,3
853 HOUGANG CTRL,HOUGANG MRT STATION,0.2923318939451625,6
213 BEDOK NTH ST 1,BEDOK MRT STATION,0.39562097088432824,4
690D CHOA CHU KANG CRES,YEW TEE MRT STATION,0.7048103759101408,1
555 CHOA CHU KANG NTH 6,YEW TEE MRT STATION,0.4398036308178852,4
718 TAMPINES ST 72,TAMPINES MRT STATION,0.9436742501829396,3
497B TAMPINES ST 45,TAMPINES EAST MRT STATION,0.4702099469320395,6
425 HOUGANG AVE 6,HOUGANG MRT STATION,0.2728795616184236,7
182 EDGEFIELD PLAINS,MERIDIAN LRT STATION,0.2262896052587179,21
216 BISHAN ST 23,BISHAN MRT STATION,0.5597805256092249,6
68 REDHILL CL,REDHILL MRT STATION,0.3103887276116222,4
326 HOUGANG AVE 7,HOUGANG MRT STATION,0.7742049362062495,5
722 ANG MO KIO AVE 8,ANG MO KIO MRT STATION,0.340637365784155,2
175 BISHAN ST 13,BISHAN MRT STATION,0.572617227919572,6
222 BT BATOK EAST AVE 3,BUKIT BATOK MRT STATION,0.5117469665844633,2
428 JURONG WEST AVE 1,LAKESIDE MRT STATION,0.9426029964443925,2
256A SUMANG WALK,SOO TECK LRT STATION,0.19891417888971313,20
861 WOODLANDS ST 83,ADMIRALTY MRT STATION,0.6493718325927534,5
274D PUNGGOL PL,PUNGGOL MRT STATION,0.17212198027698755,23
662 WOODLANDS RING RD,ADMIRALTY MRT STATION,0.6424956452677612,4
533 ANG MO KIO AVE 5,ANG MO KIO MRT STATION,0.6055392457754679,2
229 CHOA CHU KANG CTRL,SOUTH VIEW LRT STATION,0.12328406425340058,11
456 PASIR RIS DR 4,PASIR RIS MRT STATION,1.0750886658145322,2
259 TAMPINES ST 21,TAMPINES EAST MRT STATION,0.526652130273639,7
252 JURONG EAST ST 24,CHINESE GARDEN MRT STATION,0.6155407398637177,5
353 ANG MO KIO ST 32,ANG MO KIO MRT STATION,0.6878149844156318,4
201 TOA PAYOH NTH,BRADDELL MRT STATION,0.37810851105906884,7
279 CHOA CHU KANG AVE 3,SOUTH VIEW LRT STATION,0.21407556685192564,8
61B STRATHMORE AVE,QUEENSTOWN MRT STATION,0.6860923617023715,4
126B EDGEDALE PLAINS,CORAL EDGE LRT STATION,0.17631233267829496,19
702 YISHUN AVE 5,YISHUN MRT STATION,0.61759081065934,3
2 HAIG RD,PAYA LEBAR MRT STATION,0.8255611338929382,10
135 BT BATOK WEST AVE 6,BUKIT BATOK MRT STATION,0.5872989616823823,3
57 JLN MA'MOR,TOA PAYOH MRT STATION,1.1328137033391807,9
851 HOUGANG CTRL,HOUGANG MRT STATION,0.1875331666149013,6
984D BUANGKOK LINK,TONGKANG LRT STATION,0.9428315417618454,12
813B YISHUN RING RD,KHATIB MRT STATION,0.06805026518778176,2
260B ANG MO KIO ST 21,ANG MO KIO MRT STATION,1.7400335966059508,2
732 WOODLANDS CIRCLE,ADMIRALTY MRT STATION,0.4289704654144298,5
180C BOON LAY DR,BOON LAY MRT STATION,1.124891425876823,3
276D JURONG WEST ST 25,BOON LAY MRT STATION,1.668755369329577,2
29 BALAM RD,MACPHERSON MRT STATION,0.5027891924524702,10
475D UPP SERANGOON CRES,KANGKAR LRT STATION,0.9919169931703415,9
328 CLEMENTI AVE 2,CLEMENTI MRT STATION,0.22413221933720162,2
101 HENDERSON CRES,REDHILL MRT STATION,0.5497267820956612,4
108 LENGKONG TIGA,KEMBANGAN MRT STATION,0.4988742484895933,5
989C JURONG WEST ST 93,PIONEER MRT STATION,0.31567511332716724,2
672 CHOA CHU KANG CRES,YEW TEE MRT STATION,0.5105369615592731,3
317 HOUGANG AVE 7,HOUGANG MRT STATION,0.8039799845507681,3
984A BUANGKOK LINK,TONGKANG LRT STATION,0.9625938115645928,12
404 FAJAR RD,PETIR LRT STATION,0.33349219448068584,13
107 JLN RAJAH,TOA PAYOH MRT STATION,0.987298752224232,7
5 MARINE TER,KEMBANGAN MRT STATION,1.8835336221244903,1
205 BEDOK NTH ST 1,BEDOK MRT STATION,0.23510581195551397,4
779 YISHUN AVE 2,KHATIB MRT STATION,0.5274042874190349,2
43 TELOK BLANGAH RISE,HARBOURFRONT MRT STATION,0.5779913270963677,4
673A CHOA CHU KANG CRES,YEW TEE MRT STATION,0.3848474163455168,3
120 SIMEI ST 1,SIMEI MRT STATION,0.18671960122703993,8
2C BOON TIONG RD,TIONG BAHRU MRT STATION,0.6524117098405882,15
619 JURONG WEST ST 65,PIONEER MRT STATION,0.5184979438850198,2
408 TAMPINES ST 41,TAMPINES MRT STATION,0.47911081561424923,6
578 WOODLANDS DR 16,WOODLANDS SOUTH MRT STATION,0.5379249226722895,4
267B COMPASSVALE LINK,RANGGUNG LRT STATION,0.11781728864537495,14
551 JURONG WEST ST 42,LAKESIDE MRT STATION,1.00494529294185,2
178A RIVERVALE CRES,BAKAU LRT STATION,0.481109472549573,18
244 SIMEI ST 5,SIMEI MRT STATION,0.14602564748111163,8
18B HOLLAND DR,BUONA VISTA MRT STATION,0.44617774360289925,7
658C JURONG WEST ST 65,PIONEER MRT STATION,0.3564325595386528,2
