flat,school,school_dist,num_school_2km,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,dist_dhoby
269 BT BATOK EAST AVE 4,Keming Primary School,0.4890298040664807,7,BUKIT BATOK MRT STATION,1.09792164561996,3,0.2922451803182153,16,11.006641450916517
588 WOODLANDS DR 16,Innova Primary School,0.4716438940290591,17,WOODLANDS SOUTH MRT STATION,0.0978542428523305,4,0.3209317320234057,8,15.271224685113031
100 LOR 1 TOA PAYOH,Kheng Cheng School,0.2935256808141195,14,BRADDELL MRT STATION,0.2232136006296464,6,0.650806208220883,16,4.466433569691105
659 CHOA CHU KANG CRES,Unity Primary School,0.3371549056719766,6,YEW TEE MRT STATION,0.4645756441425279,3,0.5753902881737165,7,15.52183667557174
140 RIVERVALE ST,North Spring Primary School,0.2619297459790023,28,BAKAU LRT STATION,0.2375763257585135,22,0.3256303603033643,17,11.893533267423898
659B JURONG WEST ST 65,Frontier Primary School,0.2575442232249372,14,BOON LAY MRT STATION,0.4951383252102456,2,0.4598382761644016,8,16.481223078419976
122 YUAN CHING RD,Lakeside Primary School,0.6880717728420657,9,LAKESIDE MRT STATION,0.9696047542716512,3,0.3992686668552166,14,14.108238786050773
555 WOODLANDS DR 53,Woodlands Ring Primary School,0.3470709055221241,19,WOODLANDS SOUTH MRT STATION,0.5955261055426339,4,0.3007632466434397,12,15.701151825153225
121 BT BATOK CTRL,Lianhua Primary School,0.7435125579235448,10,BUKIT BATOK MRT STATION,0.3361183729099407,3,0.1855747745261216,16,12.274335637413444
191 PUNGGOL CTRL,Edgefield Primary School,0.2214678453650887,23,MERIDIAN LRT STATION,0.301847646421627,22,0.1424884371299362,15,13.20010046136058
318 TAMPINES ST 33,Chongzheng Primary School,0.5269460136601831,21,TAMPINES EAST MRT STATION,0.5482117242118371,7,0.4037025063922134,15,13.611758905245066
132 BT BATOK WEST AVE 6,Princess Elizabeth Primary School,0.5370032366572871,12,BUKIT BATOK MRT STATION,0.476143992660253,5,0.3905687320899467,20,12.459780373171602
833 YISHUN ST 81,Peiying Primary School,0.5064890892024398,7,KHATIB MRT STATION,0.3375317164165434,2,0.1919806805094751,12,12.80329638890481
744 JURONG WEST ST 73,Westwood Primary School,0.1867964323077979,12,PIONEER MRT STATION,1.0324246413906872,2,0.548527479808942,10,17.116320576249368
635B SENJA RD,West View Primary School,0.4223728866721096,13,SENJA LRT STATION,0.6767041850054948,17,0.3250491432434056,16,13.717110743768337
296A COMPASSVALE CRES,Compassvale Primary School,0.3325468362074336,27,COMPASSVALE LRT STATION,0.3084881658913337,26,0.4386776263453426,20,12.36731668561183
238 BT BATOK EAST AVE 5,Bukit View Primary School,0.4550803683440987,11,BUKIT BATOK MRT STATION,0.579689438458568,3,0.3484216464011566,17,11.521994786318013
36 TEBAN GDNS RD,Qifa Primary School,1.7145900209136804,4,JURONG EAST MRT STATION,1.4579468359976473,2,0.0623391494918595,14,11.638928644821862
181 STIRLING RD,Queenstown Primary School,0.258678756885965,3,QUEENSTOWN MRT STATION,0.064501406417911,3,0.4701067788028283,12,4.454440457026519
